Probe 1,Probe 2,Probe 3
0.088334,0.10799,0.113897
0.08847,0.107295,0.113897
0.088607,0.106878,0.11376
0.088743,0.106461,0.113623
0.089152,0.105628,0.11335
0.089424,0.10535,0.113213
0.089697,0.104794,0.113077
0.090378,0.104099,0.112667
0.090787,0.103682,0.112393
0.091196,0.103126,0.112257
0.092013,0.102292,0.11171
0.092422,0.101736,0.111437
0.092831,0.10132,0.111164
0.093784,0.100347,0.110617
0.094193,0.09993,0.110207
0.094602,0.099513,0.109934
0.095556,0.098401,0.109251
0.096101,0.097984,0.108841
0.096509,0.097567,0.108431
0.096918,0.097011,0.108157
0.097736,0.096039,0.107338
0.098281,0.095622,0.106928
0.098553,0.095066,0.106381
0.099371,0.094232,0.105561
0.099779,0.093815,0.105151
0.100188,0.093398,0.104741
0.10087,0.092703,0.103785
0.101278,0.092425,0.103238
0.101551,0.092147,0.102828
0.102232,0.091592,0.101872
0.102641,0.091453,0.101325
0.102913,0.091175,0.100915
0.103595,0.090758,0.099959
0.103867,0.090619,0.099412
0.104276,0.09048,0.099002
0.104821,0.090063,0.098046
0.105093,0.089924,0.097499
0.105502,0.089785,0.097089
0.106047,0.089507,0.096269
0.10632,0.089507,0.095723
0.106592,0.089368,0.095313
0.106865,0.089368,0.094903
0.107273,0.089368,0.094083
0.107546,0.089507,0.09381
0.107818,0.089646,0.0934
0.108363,0.089924,0.092717
0.108636,0.089924,0.092443
0.108908,0.090202,0.09217
0.109454,0.090619,0.091623
0.10959,0.090897,0.091487
0.109862,0.091175,0.091214
0.110407,0.09187,0.09094
0.110544,0.092147,0.090804
0.110816,0.092564,0.090667
0.111225,0.093259,0.090394
0.111361,0.093676,0.090257
0.111497,0.094093,0.09012
0.111906,0.095066,0.089984
0.112042,0.095622,0.089847
0.112179,0.096039,0.089847
0.112451,0.097011,0.089847
0.112587,0.097428,0.089847
0.112724,0.097984,0.089847
0.11286,0.098818,0.089984
0.112996,0.099374,0.089984
0.113132,0.099791,0.09012
0.113269,0.100347,0.090257
